名称,名称2,承载,省份,县市,建成,最大跨,category,序号,longitude,latitude
芜湖长江大桥,芜湖长江大桥,芜合高速,安徽省,"无为县
芜湖市",2000,"5,681",,323,118.341074,31.385737
芜湖长江大桥,芜湖长江大桥,淮南铁路,安徽省,"无为县
芜湖市",2000,"10,521",,324,118.341074,31.385737
马鞍山长江大桥,左汊桥,常合高速,安徽省,"和县
当涂县",2013,"10,900",悬索桥,327,118.50741,31.615933
马鞍山长江大桥,右汊桥,常合高速,安徽省,"当涂县
马鞍山市",2013,"10,900",斜拉桥,328,118.50741,31.615933
大胜关长江大桥,大胜关长江大桥,"京沪高速铁路、宁蓉铁路
 南京地铁S3号线",江苏省,南京市,2009,"9,270",,329,118.74253,32.114102
南京长江第三大桥,南京长江第三大桥,"沪蓉高速
 南京绕城高速",江苏省,南京市,2005,"4,788",斜拉桥,330,118.644795,31.969112
南京地铁10号线过江隧道,南京地铁10号线过江隧道,南京地铁10号线,江苏省,南京市,2014,"3,345",隧道,334,118.668579,32.057344
夹江大桥,夹江大桥,六车道公路,江苏省,南京市,2010,665.5,悬索桥,335,118.705192,32.033867
南京长江隧道,南京长江隧道,六车道公路,江苏省,南京市,2009,"3,825",隧道,336,118.702979,32.035677
南京扬子江隧道,南京扬子江隧道,八车道公路,江苏省,南京市,2016,"7,368",隧道,337,118.704989,31.991678
南京长江大桥,南京长江大桥,104国道,江苏省,南京市,1968,"4,588",桁架桥,339,118.75571,32.09478
南京长江大桥,南京长江大桥,京沪铁路,江苏省,南京市,1968,"6,772",桁架桥,340,118.75571,32.09478
南京地铁3号线过江隧道,南京地铁3号线过江隧道,南京地铁3号线,江苏省,南京市,2015,"3,100",隧道,342,118.668579,32.057344
南京长江第二大桥,北汊桥,宁洛高速,江苏省,南京市,2001,"2,172",梁式桥,346,118.844147,32.155628
南京长江第二大桥,南汊桥,宁洛高速,江苏省,南京市,2001,"2,938",斜拉桥,347,118.844147,32.155628
南京长江第四大桥,南京长江第四大桥,南京绕城高速,江苏省,南京市,2012,"5,448",悬索桥,350,118.945241,32.174726
润扬长江大桥,北汊桥,扬溧高速,江苏省,"扬州市
镇江市",2005,"7,210",斜拉桥,352,119.371566,32.199377
润扬长江大桥,南汊桥,扬溧高速,江苏省,镇江市,2005,"7,210",悬索桥,353,119.371566,32.199377
扬中长江三桥,扬中长江三桥,238省道,江苏省,"扬中市
镇江市",2014,"2,235",梁式桥,357,119.779566,32.207262
泰州长江大桥,主桥,泰镇高速,江苏省,"泰州市
扬中市",2012,"9,726",悬索桥,358,119.892535,32.247132
泰州长江大桥,夹江桥,泰镇高速,江苏省,"扬中市
镇江市",2012,"9,726",梁式桥,359,119.892535,32.247132
长青沙大桥,长青沙大桥,207县道,江苏省,如皋市,2001,608.28,梁式桥,369,120.596854,32.0693
华沙大桥,华沙大桥,海五公路,江苏省,南通市,2003,"1,580",梁式桥,371,120.651082,32.055393
东沙大桥,东沙大桥,六车道公路,江苏省,南通市,2014,"1,838.8",斜拉桥,372,120.678207,32.051295
沪通长江大桥,沪通长江大桥,"通锡高速
 沪通铁路、通苏嘉城际铁路",江苏省,"南通市
张家港市",2019,"5,838",斜拉桥,373,120.721551,32.04152
上海长江隧道,上海长江隧道,"沪陕高速
预留  上海轨道交通19号线",上海市,"长兴岛
浦东新区",2009,"8,950",隧道,375,121.513959,31.35915
上海长江大桥,上海长江大桥,"沪陕高速
预留  上海轨道交通19号线",上海市,"崇明岛
长兴岛",2009,"9,970",斜拉桥,376,121.752051,31.436518
崇启大桥,崇启大桥,沪陕高速,上海市,崇明岛,2011,"7,150",梁式桥,377,121.656582,31.662725
崇启大桥,崇启大桥,沪陕高速,江苏省,启东市,2011,"7,150",梁式桥,378,121.656582,31.662725
